"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"13","情绪与行为","调节情绪","忍受挫折，寻求帮助","在测试时或日常生活中观察；或询问家长：儿童遇到困难会忍受挫折，愿意继续尝试或寻求帮助吗？","观察项目","","是","没有","儿童能忍受挫折，并愿意继续尝试或寻求帮助","轻度","引导后有时能忍受挫折，继续尝试或寻求帮助","严重","没有或不能忍受挫折"
"14","情绪与行为","调节情绪","要求得不到满足时忍耐","在测试时或日常生活中观察；或询问家长：当儿童的要求未能得到满足时，他会忍耐或接受吗？","观察项目","","是","没有","会忍耐和接受","轻度","引导后有时能忍耐和接受","严重","没有或不能忍耐与接受"
"15","情绪与行为","关系与情感物品运用","对镜中自己影像的反应","测试员向儿童出示镜子，指示儿童望向自己的影像并问：你看到谁了呀？然后作短暂的观察（30秒）。若儿童没有反应，可口头或用手势指示，但若儿童开始把玩，则只需观察儿童的表现，不需要再给予指示。 观察问题： 儿童是否对自己的影像作出不恰当的反应（拒绝望向影像、拍打镜子、显得十分兴奋、表露过分的兴趣）？","镜子","","是","没有","对影像有恰当的反应（回答见到自己、假装梳头、扮鬼脸或轻触镜子）","轻度","反应有些不恰当，只有轻微[S]项所指的反应；或对自己影像没有反应","严重","对影像有不恰当的反应，其中可能包括拒绝望着镜中的自己、拍打镜子、表现出极端或持久的兴趣、或表现的过分兴奋"
"16","情绪与行为","接纳亲近","对身体接触的反应","测试员先向儿童指示会抱他，然后抱起儿童轻微摇晃（若儿童太重围能抱起，则握儿童的手摇荡，如玩摇小船游戏）。 观察问题： 儿童对身体接触是否表现过的兴奋或不安？儿童队身体接触是否缺乏反应？","","","是","没有","对身体接触有恰当的反应，表现得十分享受，并有情感上的交流","轻度","反应有些不恰当，但不至于像[S]项所指的那么极端","严重","对身体接触有不恰当的反应，如尖叫、走开、惊惶、哭泣，或完全拒绝与人交往，或没有反应"
"17","情绪与行为","引发社交沟通","向测试员求助","观察问题： 1、儿童能否就测试项目和个人需要（系鞋带、索取物品、要求物品、如厕等）用语言或手势求助？ 2、儿童是否在一个以上的情境下用语言或手势求助？ 3、测试员可制造困难，如要求儿童把物品放进细小的袋子里，观察儿童的表现。","观察项目","","是","没有","在一个以上的情境下，能适当用说话或手势提出要求","轻度","即使有需要，有时仍很少以说话或手势提出要求；或不直接以手势求助","严重","即使有需要，也从不以说话或手势求助；或过度求助"
"18","情绪与行为","社交反应","对测试员的声音的反应","在自由时间结束时，或在测试中的任何时间，都可进行此项测试。在儿童没有望向测试员或没有专注于某些活动时，呼唤儿童的名字，要求儿童“过来”或“坐下”，并注意儿童对测试员声音的反应。 观察问题： 儿童是否对测试员的呼唤有适当的反应？","观察项目","","是","没有","对测试员的声音适当地作出反应，儿童的表现显示已接受到指示（眨眼、转头向测试员说：“行了”或回到座位上）","轻度","反应不一致，偶尔会表现注意；或对测试员的声音反应迟缓","严重","对测试员的声音反应不恰当，没有作出已接收到指示的任何语言或非语言的表式"
"19","情绪与行为","社交反应","目光接触","观察问题： 儿童是否回避测试员的目光接触？","观察项目","","是","没有","在测试期间有足够的目光接触","轻度","即使在感兴趣的交往中，儿童的目光接触也是短暂而浮动的","严重","长期或过分回避测试员的目光接触"
"20","情绪与行为","社交反应","情感","观察问题： 1、儿童的情感表现有何特征？ 2、儿童是否缺乏与其年龄相符的情感反应？ 3、儿童对测试员态度是否不恰当？","观察项目","","是","没有","在整个测试期间，儿童对测试员和测试材料有适当的情感交流和足够的反应","轻度","儿童有轻微不恰当的情绪反应；或有有限但恰当的情感变化","严重","儿童在整个测试期间均表现出不恰当的情绪反应。不寻常的行为包括：刻板或缺乏面部表情变化、过分幼稚或傻笑、没有原因但急促改变面部表情、面部肌肉抽动；或对测试员没有任何情感反应"
"21","情绪与行为","社交反应","恐惧的反应","观察问题： 1、儿童是否在恐惧的情况下有不恰当的反应？ 2、在应该表现恐惧的情况下，儿童是否缺乏应有的反应？ 3、儿童对恐惧多反应是否过分或不当？ 4、儿童与亲人分离时的反应如何？","观察项目","","是","没有","表现出与年龄相符的恐惧反应，而且容易接受安抚","轻度","表现出比同龄儿童要多的恐惧反应","严重","对应该感到恐惧的反应物所畏惧；或表现出过度恐惧，不易控制和安抚"
"22","情绪与行为","社交反应","察觉测试员的存在","观察问题： 1、儿童是否察觉到测试员的存在？ 2、儿童是否能对测试员的声音、目光接触、赞赏和微笑作出反应？","观察项目","","是","没有","对测试员作出适当的反应，如报以目光接触、聆听测试员的声音、回以微笑等等","轻度","稍欠社交反应，包括目光接触；或很少主动进行社交接触，必须由测试员介入才能主动与人交往","严重","没有察觉到测试员的存在，或很少对测试员作出反应，表现孤僻，对测试员视而不见，经常需测试员介入才能主动与人交往"
"23","情绪与行为","社交反应","与测试员合作","观察问题： 1、儿童是否能对测试员的要求作出合作的表现 2、儿童在不明白或未能达到测试员要求时，是否能做出明确的表示？","观察项目","","是","没有","除非是儿童未能明白或不能做到的要求，否则儿童均能遵从测试员的要求，并尝试与测试员合作。对于太困难或不清楚的事情，会作出明确的表示","轻度","中度的反抗；或儿童所表现的合作性略为反复","严重","过分反抗；或所表现的合作性非常反复；或并没有尝试与测试员合作"
"24","情绪与行为","社交反应","对社交奖励（赞赏）有反应","观察问题： 儿童对测试员的社交奖励（赞赏）是否留意并感兴趣？","观察项目","","是","没有","享受而且会因为社交奖励的鼓励而加强参与活动的兴趣","轻度","对社交奖励的反应轻微或前后不一","严重","对社交奖励缺乏反应或有负面的反应"
"25","情绪与行为","适应转变","对干扰的忍耐力","观察问题： 1、当测试员拿走儿童感兴趣的测试材料或转换活动时，儿童会有怎样的反应？ 2、儿童是否有异常的挫败感和感到非常困难？","观察项目","","是","没有","能忍受测试员转换活动，且在喜爱的物品被拿走时，不会特别表现出困扰","轻度","接受转换活动或测试材料时有困难（如有少许抗拒改变），但仍可接纳","严重","不能忍受转换或干扰，对干扰的反应可能是大哭、大叫、拍双手、面容扭曲、发脾气或撞头等等"
"26","情绪与行为","对物品的兴趣运用物品及身体","对绳子的反应","将绳子放在桌子上，鼓励儿童拿起绳子并把玩它，然后对儿童作短暂的观察（约1分钟）。 观察问题： 儿童对绳子的反应如何？ 儿童是否表现的过分兴奋或以不恰当的方法把玩绳子？","一端打上结的绳子1条","","是","没有","儿童对绳子的反应与其实际年龄或发展年龄相符","轻度","对绳子的反应有点不寻常，儿童可能拿起绳子但没有作任何事，或不感兴趣","严重","对绳子的反应怪异，出现不寻常的行为，包括将绳子放进嘴里咬、拍打、大幅度地摇动或完全不理会绳子"
"27","情绪与行为","对物品的兴趣运用物品及身体","单独玩耍","测试员拉开儿童的桌子，并说：你可以离开座位出来玩啦。或指着测试用过的材料说：这些东西你都可以玩，你自己玩一会儿吧。然后观察儿童。 观察问题： 1、儿童单独玩耍是否有困难？ 2、儿童是否是没有组织地玩耍（如：只将所有材料胡乱地堆在一起，而不知道如何玩）或沉迷于刻板而重复的行为（如：将任何物品都排列起来）？ 3、儿童是否过分活跃，或对外界脱离，什么事也不做？ 4、儿童是否对察看房间周围环境，玩测试材料缺乏兴趣？ 5、当测试员对空间和材料的使用没有安排，儿童是否会沉醉在古怪的自我刺激行为中？","观察项目","","是","没有","能适当单独玩耍，儿童利用空间、材料的方式都符合儿童实际年龄应有的表现","轻度","有点不适当地玩耍或对玩耍没有兴趣","严重","不适当地玩耍，变得十分活跃，不耐烦或伤感、沉醉于自我刺激的行为中，或不恰当地使用材料"
"28","情绪与行为","对物品的兴趣运用物品及身体","探索测试房间的环境","观察问题： 儿童在刚进入测试房间，以及在自由活动时，如何探索测试房间的环境？","观察项目","","是","没有","尝试探索周围环境（如：环顾房间周围的环境和物品）","轻度","表现出长时间不寻常的活跃；或对环境探索毫无兴趣","严重","以过分重复或夸张的形式去探索环境。不寻常对行为包括：重复而持续地爬行，前后度步或触摸墙壁"
"29","情绪与行为","对物品的兴趣运用物品及身体","检查测试材料","观察问题： 1、儿童对测试材料有何反应？ 2、儿童是否对测试材料缺乏自发的兴趣或以不恰当的方式使用测试材料？","观察项目","","是","没有","恰当使用测试材料，感兴趣地仔细观看，利用视觉和触觉检查测试材料","轻度","不恰当地以某一种感官检查测试材料；或对测试材料只有少许兴趣","严重","在整个测试过程和自由时间里，对测试材料完全不感兴趣；或不恰当地以多种感官检查材料（如：抛、转、嗅或擦；过分沉迷于测试材料的某个部位；或对物品的倒影、影像过分感兴趣）"
